summary_sentence,article_sentences,stance_preservation,kl_divergences,summary_stance,summary_stance_score,article_stances,article_stance_scores
עיריית תל אביב אישרה תקן חניה חדש לפיו במרכז העיר יוקצה לכל היותר מקום חניה אחד לכל שתי דירות חדשות,"[('אין חניה תקן חדש במרכז ת""א: חניה אחת לכל שתי דירות', 0.92902684), ('לפני כשבועיים הוועדה המקומית לתכנון ובנייה בעיריית תל אביב אישרה תקן חניה עדכני לתוכניות בניין העיר העתידיות', 0.90083987), ('יותר רכבים, פחות חניה לדברי חיים מסילתי יו""ר לשכת שמאי המקרקעין, ״בשנים האחרונות ישנה מגמה לפיה מצד אחד יש פחות מקומות חניה בתל אביב, בעיקר במרכזה, ומצד שני יש יותר מכוניות', 0.8916221), ('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.87885356), ('המשמעות היא שכל דירה חדשה שנייה שתיבנה במרכז העיר תימכר ללא חניה מוצמדת', 0.87584746)]",Preserved,"[11.979012489318848, 1.4049555829842575e-07, 12.140091896057129, 9.849900379776955e-06, 1.5137234186113346e-06]",positive,0.999992847442627,"['neutral', 'positive', 'neutral', 'positive', 'positive']","[0.9999922513961792, 0.9999916553497314, 0.9999920129776001, 0.9999881982803345, 0.9999916553497314]"
"התקן החדש יביא לצמצום במספר מקומות החניה באזורים אלו, מה שצפוי להשפיע על מחירי החניה הקיימים","[('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.88464), ('משמעות הפחתת תקן החניה בתל אביב, לדבריה, היא שרבים מהתושבים לא יוכלו להחזיק מכונית', 0.87740606), ('מסילתי מעריך כי מצוקת החניה תגבר משמעותית לאור הפחתת תקני החניה בפרויקטים חדשים למגורים ומדגיש כי המספרים שצוינו מהווים גבול מקסימלי, כלומר שניתן אף לקבוע תקן נמוך יותר', 0.87405986), ('""מחירי החניות צפויים להמשיך לעלות בשנים הקרובות"", מעריך מסילתי, ""לפחות עד שהתשתית התחבורתית המדוברת, כגון הרכבת הקלה והמטרו, תיתן מענה חלופי לציבור ותעודד אנשים לוותר על השימוש ברכבים פרטיים""', 0.8729974), ('""זהו מצב בעייתי לתושבים במציאות שבה אין תחבורה ציבורית טובה, וכן ליזמים שעמלים על תוכניות כבר שנים, ולפתע צריכים לשנות אותן בהתאם לתקני החניה החדשים, ולבצע אומדנים כלכליים בהתאם', 0.8712388)]",Preserved,"[3.875613856507698e-06, 0.304713636636734, 1.6520039025635924e-06, 1.7457682588428725e-06, 12.743118286132812]",positive,0.9999932050704956,"['positive', 'positive', 'positive', 'positive', 'neutral']","[0.9999881982803345, 0.7372934818267822, 0.9999890327453613, 0.9999903440475464, 0.9999947547912598]"
"כבר היום, הביקוש הגבוה לחניה בתל אביב ניכר במחירי השכרה ומכירה גבוהים","[('על פי נתוני אתר יד 2, מחירי החניה בתל אביב משקפים את הביקושים הגבוהים מצד תושבים ומבקרים', 0.92581916), ('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.9103414), ('עלות חניה בתל אביב עומדת כיום בממוצע על כ-35,000 שקל למ""ר, הרבה יותר מהמחיר למ""ר בדירות במרבית הערים בארץ', 0.8979641), ('בדיקה באתר יד2 משקפת את הביקוש והמצוקה גם בתל אביב כמו ניו יורק, לונדון או סינגפור החניה הופכת למצרך מבוקש ויקר כמעט כמו בית', 0.8926855), (""ברמת אביב ג' מחירי החניות 250-400 אלף שקל והתמורה נעה בין 7% ל-10%"", 0.8901177)]",Preserved,"[0.11191100627183914, 0.1365518420934677, 0.11352471262216568, 10.344521522521973, 0.12132102251052856]",positive,0.9833542704582214,"['positive', 'positive', 'positive', 'neutral', 'positive']","[0.9999911785125732, 0.9999881982803345, 0.9999904632568359, 0.9999189376831055, 0.9999934434890747]"
"מומחים מעריכים כי צמצום מקומות החניה בפרויקטים חדשים יוביל לעלייה משמעותית במחירי החניה הקיימים, במיוחד במרכז העיר","[('""זהו מצב בעייתי לתושבים במציאות שבה אין תחבורה ציבורית טובה, וכן ליזמים שעמלים על תוכניות כבר שנים, ולפתע צריכים לשנות אותן בהתאם לתקני החניה החדשים, ולבצע אומדנים כלכליים בהתאם', 0.88696074), ('על פי נתוני אתר יד 2, מחירי החניה בתל אביב משקפים את הביקושים הגבוהים מצד תושבים ומבקרים', 0.8837006), ('""מדובר בהצעה שנגזרת מהמציאות הפקוקה שאנו חיים בה ושעוד עתידה להתפוקק עוד יותר עם הכניסה לביצוע קווי רכבת קלה, נתיבי תחבורה נוספים ושבילי אופניים, שיצמצמו את קיבולת הדרכים בעיר ובכניסות אליה"", אומרת להבי', 0.88077885), ('יותר רכבים, פחות חניה לדברי חיים מסילתי יו""ר לשכת שמאי המקרקעין, ״בשנים האחרונות ישנה מגמה לפיה מצד אחד יש פחות מקומות חניה בתל אביב, בעיקר במרכזה, ומצד שני יש יותר מכוניות', 0.88027614), ('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.87764716)]",Preserved,"[12.743130683898926, 1.486634118919028e-06, 7.316519737243652, 12.1400785446167, 4.716093371825991e-06]",positive,0.9999935626983643,"['neutral', 'positive', 'neutral', 'neutral', 'positive']","[0.9999947547912598, 0.9999911785125732, 0.9993314743041992, 0.9999920129776001, 0.9999881982803345]"
"ההיגיון מאחורי המהלך הוא לעודד שימוש בתחבורה ציבורית, אך ישנם חששות בנוגע ליישומיותו בטווח הקצר והבינוני","[('""מדובר בהצעה שנגזרת מהמציאות הפקוקה שאנו חיים בה ושעוד עתידה להתפוקק עוד יותר עם הכניסה לביצוע קווי רכבת קלה, נתיבי תחבורה נוספים ושבילי אופניים, שיצמצמו את קיבולת הדרכים בעיר ובכניסות אליה"", אומרת להבי', 0.87378985), ('""כל אלה, לצד האיטיות וחוסר הוודאות בקשר למימוש תוכניות התחבורה הציבורית, מחייבים תכנון שכונות המאפשרות פתרונות תחבורה יצירתיים, נוחים ובטוחים להולכי רגל לצד שבילי אופניים, ופתרונות חדשניים של עבודה מהבית או בסמוך לבית, באופן שיצמצם את בעיות התחבורה""', 0.86193454), ('""זהו מצב בעייתי לתושבים במציאות שבה אין תחבורה ציבורית טובה, וכן ליזמים שעמלים על תוכניות כבר שנים, ולפתע צריכים לשנות אותן בהתאם לתקני החניה החדשים, ולבצע אומדנים כלכליים בהתאם', 0.86003083), ('מדובר בגישה בעייתית בטווח הקצר והבינוני, שכן עדיין לא ברור האם ומתי המטרו וקווי הרכבת הקלה העתידיים יחלו לפעול""', 0.85344434), ('""הרציונל הוא שהודות לנגישות לתחבורה ציבורית לא יהיה צורך ברכב פרטי', 0.84869206)]",Preserved,"[0.0006860236171633005, 13.09173583984375, 0.009930869564414024, 0.008423951454460621, 13.30614185333252]",neutral,0.9981732368469238,"['neutral', 'positive', 'neutral', 'neutral', 'positive']","[0.9993314743041992, 0.9999926090240479, 0.9999947547912598, 0.9999921321868896, 0.9999942779541016]"
"עיריית תל אביב מקדמת פעולות שונות בתחום החניה, ביניהן הגבלת תווי חניה, תמחור דיפרנציאלי, פתרונות חנה וסע והרחבת אפשרויות התחבורה הציבורית","[('להבי מפרטת פעולות שונות שהעירייה מקדמת בתחום החניה, ביניהן הגבלת החלוקה של תווי חניה, תמחור דיפרנציאלי של החניה ברחובות, הסדרת מנגנון לחניה קצרת טווח ברחובות מסחריים, פתרונות אלטרנטיביים לחניוני חנה וסע במבואות העיר, הרחבת המענים להתניידות שיתופית, הסדרה של כללי התניידות בכלים האישיים ופיתוח תשתיות לרכיבה בטוחה, ביצוע נתיבי תחבורה ציבורית נוספים והעלאת רמת השירות לנוסעים, עידוד פריסת מוניות השירות והמשך הפעלה של מיזמים כמו נעים בסופ""ש, שמטרתם לספק מענים להתניידות 24/7', 0.9054673), ('לפני כשבועיים הוועדה המקומית לתכנון ובנייה בעיריית תל אביב אישרה תקן חניה עדכני לתוכניות בניין העיר העתידיות', 0.84554446), ('לחשב מסלול מחדש מיטל להבי סגנית ראש עיריית תל-אביב-יפו ומחזיקת תיק התחבורה מסבירה שההצעה להגדרת תקן חניה מופחת בעיר מתאימה למדיניות של העירייה ""להפוך את פירמידת התנועה, לשים את הולכי הרגל בראש סדר העדיפויות ולצמצם את השימוש ברכב פרטי בעיר""', 0.84152603), ('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.83346844), ('חוסר ההלימה בין צמצום מקומות החניה באזורי התעסוקה ודרישה מוגברת למקומות חניה בערים שמחוץ לתל אביב מעוררת בעיה אמיתית למשתמשי הרכב הפרטי, שאין להם חניה בהישג יד במקומות עבודתם', 0.82916033)]",Preserved,"[1.421230990672484e-07, 2.7689020498655736e-07, 4.843168426305056e-07, 8.846422133501619e-06, 12.336038589477539]",positive,0.9999923706054688,"['positive', 'positive', 'positive', 'positive', 'neutral']","[0.9999920129776001, 0.9999916553497314, 0.9999923706054688, 0.9999881982803345, 0.9999940395355225]"
מטרת המהלך היא לצמצם את השימוש ברכב פרטי ולהפוך את תל אביב לעיר ידידותית יותר להולכי רגל ורוכבי אופניים,"[('""מדובר בהצעה שנגזרת מהמציאות הפקוקה שאנו חיים בה ושעוד עתידה להתפוקק עוד יותר עם הכניסה לביצוע קווי רכבת קלה, נתיבי תחבורה נוספים ושבילי אופניים, שיצמצמו את קיבולת הדרכים בעיר ובכניסות אליה"", אומרת להבי', 0.8509358), ('לחשב מסלול מחדש מיטל להבי סגנית ראש עיריית תל-אביב-יפו ומחזיקת תיק התחבורה מסבירה שההצעה להגדרת תקן חניה מופחת בעיר מתאימה למדיניות של העירייה ""להפוך את פירמידת התנועה, לשים את הולכי הרגל בראש סדר העדיפויות ולצמצם את השימוש ברכב פרטי בעיר""', 0.84258515), ('משמעות הפחתת תקן החניה בתל אביב, לדבריה, היא שרבים מהתושבים לא יוכלו להחזיק מכונית', 0.8425628), ('""כל אלה, לצד האיטיות וחוסר הוודאות בקשר למימוש תוכניות התחבורה הציבורית, מחייבים תכנון שכונות המאפשרות פתרונות תחבורה יצירתיים, נוחים ובטוחים להולכי רגל לצד שבילי אופניים, ופתרונות חדשניים של עבודה מהבית או בסמוך לבית, באופן שיצמצם את בעיות התחבורה""', 0.83989114), ('""הרציונל הוא שהודות לנגישות לתחבורה ציבורית לא יהיה צורך ברכב פרטי', 0.8341624)]",Preserved,"[7.316538333892822, 5.495444383996073e-07, 0.3047334551811218, 1.474854798289016e-07, 1.9789695215877146e-07]",positive,0.9999935626983643,"['neutral', 'positive', 'positive', 'positive', 'positive']","[0.9993314743041992, 0.9999923706054688, 0.7372934818267822, 0.9999926090240479, 0.9999942779541016]"
מומחים מעריכים שמחירי החניה ימשיכו לעלות עד שתשתיות התחבורה הציבורית יהיו תחליף ראוי לרכב הפרטי,"[('""מחירי החניות עשוים לעלות בעשרות אחוזים, זאת עד להקמת תשתית תחבורתית ציבורית הולמת, שתהווה תחליף ראוי לכלי הרכב הפרטיים"", אומר מסילתי', 0.89872015), ('""מחירי החניות צפויים להמשיך לעלות בשנים הקרובות"", מעריך מסילתי, ""לפחות עד שהתשתית התחבורתית המדוברת, כגון הרכבת הקלה והמטרו, תיתן מענה חלופי לציבור ותעודד אנשים לוותר על השימוש ברכבים פרטיים""', 0.89859474), ('""הרציונל הוא שהודות לנגישות לתחבורה ציבורית לא יהיה צורך ברכב פרטי', 0.86251456), ('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.86099374), ('משמעות הפחתת תקן החניה בתל אביב, לדבריה, היא שרבים מהתושבים לא יוכלו להחזיק מכונית', 0.8601011)]",Not Preserved,"[8.847869873046875, 12.790304183959961, 13.04447078704834, 11.227197647094727, 1.2372097969055176]",neutral,0.9837779998779297,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9998726844787598, 0.9999903440475464, 0.9999942779541016, 0.9999881982803345, 0.7372934818267822]"
"יש פער משמעותי בין מחירי חניה במקומות שונים בתל אביב, כאשר חניות תת קרקעיות ומקורות יקרות יותר מחניות פתוחות","[('עלות חניה בתל אביב עומדת כיום בממוצע על כ-35,000 שקל למ""ר, הרבה יותר מהמחיר למ""ר בדירות במרבית הערים בארץ', 0.9052205), ('הפער בין חניה איכותית בתוך חניון תת קרקעי לחניה במיקום פחות אטרקטיבי מחוצה לו יכול להגיע ל-10% ואף יותר', 0.89546657), ('חוסר ההלימה בין צמצום מקומות החניה באזורי התעסוקה ודרישה מוגברת למקומות חניה בערים שמחוץ לתל אביב מעוררת בעיה אמיתית למשתמשי הרכב הפרטי, שאין להם חניה בהישג יד במקומות עבודתם', 0.8913423), ('פרמטר נוסף שמשפיע על המחיר הוא סוג החניה: חניות פתוחות, מקורות ותת קרקעיות, שהן הרבה יותר נוחות ומתומחרות במחיר גבוה', 0.8899479), ('יותר רכבים, פחות חניה לדברי חיים מסילתי יו""ר לשכת שמאי המקרקעין, ״בשנים האחרונות ישנה מגמה לפיה מצד אחד יש פחות מקומות חניה בתל אביב, בעיקר במרכזה, ומצד שני יש יותר מכוניות', 0.8863818)]",Preserved,"[12.74374771118164, 2.343535015825182e-06, 1.2643358786590397e-06, 12.926706314086914, 1.0970661605824716e-06]",neutral,0.9999942779541016,"['positive', 'neutral', 'neutral', 'positive', 'neutral']","[0.9999904632568359, 0.9999873638153076, 0.9999940395355225, 0.9999942779541016, 0.9999920129776001]"
"על פי נתוני אתר יד2, מחירי חניה למכירה בתל אביב נעים בין 140 אלף שקל ל-550 אלף שקל, תלוי באזור","[('עלות חניה בתל אביב עומדת כיום בממוצע על כ-35,000 שקל למ""ר, הרבה יותר מהמחיר למ""ר בדירות במרבית הערים בארץ', 0.9356692), ('מקומות חניה למכירה נעים בין 140 ל-550 אלף שקל, ומחירי ההשכרה נעים בין 350 שקל לחודש (4,200 שקל לשנה) ועד 1,250 שקל בחודש (15,000 שקל לשנה), תלוי בשכונה', 0.9140482), ('על פי נתוני אתר יד 2, מחירי החניה בתל אביב משקפים את הביקושים הגבוהים מצד תושבים ומבקרים', 0.90040976), (""ברמת אביב ג' מחירי החניות 250-400 אלף שקל והתמורה נעה בין 7% ל-10%"", 0.8889279), ('כאשר בוחנים את המחירים לפי שכונות, בלב העיר צפון (רחובות אחד העם / בלפור) מחיר חניה לרכישה הוא היקר ביותר ומגיע לכ-550 אלף שקל', 0.88755727)]",Preserved,"[7.333637768169865e-07, 1.0407393347122706e-07, 4.882422217633575e-07, 3.367895260453224e-07, 2.198223228333518e-06]",positive,0.9999936819076538,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9999904632568359, 0.9999927282333374, 0.9999911785125732, 0.9999934434890747, 0.9999915361404419]"
